"major1","Gender","GPA.Range","year.x","survey_city","survey_company","survey_deptfunc","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state","latitude","longitude","survey_company_cluster_name"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2019","cincinnati","total quality logistics","Logistics / Supply Chain","2","accepted fulltime job","Yes","Yes",35000,NA,"39.1014537","-84.5124602","total quality logistics"
"Finance","Female","3.00 - 3.49","2019","chicago","bswift","Finance","1","accepted fulltime job","Yes","Yes",50000,"Illinois","41.8755616","-87.6244212","bswift"
"Finance","Female","3.50 - 4.00","2020","chicago","the hackett group","Consulting","3","accepted fulltime job","Yes","Yes",73000,"Illinois","41.8755616","-87.6244212","the home depot"
"Marketing","Female","3.00 - 3.49","2019","cincinnati","cengage learning","Marketing / Sales","5","accepted fulltime job","Yes","Yes",50000,NA,"39.1014537","-84.5124602","cengage learning"
"Marketing","Male","2.50 - 2.99","2021",NA,"spyglass",NA,"3","accepted fulltime job","Yes","Yes",41000,NA,NA,NA,"spyglass"
"Accountancy","Female","3.00 - 3.49","2020","chicago","northern trust corporation",NA,"0","accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","northwestern mutual"
"Accountancy","Female","3.50 - 4.00","2021","chicago","deloitte","Accounting","1","accepted fulltime job","Yes","Yes",60000,"Illinois","41.8755616","-87.6244212","deloitte"
"Management and Leadership","Female","3.50 - 4.00","2019",NA,"textron","Human Resources","1","accepted fulltime job","Yes","Yes",55000,"Georgia",NA,NA,"textron specialized vehicles"
"Accountancy","Female","3.50 - 4.00","2019","chicago","ey","Accounting","3","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","ey"
"Human Capital Mgmt& Leadership","Female","3.00 - 3.49","2019","columbus","stanley steamer",NA,"1","accepted fulltime job",NA,NA,NA,"Ohio","39.9622601","-83.0007065","stanley steamer"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2020","cincinnati","terillium","Consulting Logistics / Supply Chain Other: Information Systems","2","accepted fulltime job","Yes","No",55000,"Ohio","39.1014537","-84.5124602","terillium"
"Marketing","Male","2.50 - 2.99","2019","chicago","grubhub",NA,NA,"accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","grubhub"
"Human Capital Mgmt& Leadership","Female","3.00 - 3.49","2021","detroit","general motors","Human Resources","2","accepted fulltime job","Yes","No",75000,"Michigan","42.3315509","-83.0466403","general motors"
"Marketing","Female","3.50 - 4.00","2020","findlay","marathon petroleum corporation","Marketing / Sales","1","accepted fulltime job","Yes","Yes",60000,"Ohio","41.0413873","-83.6503982","marathon petroleum corporation"
"Accountancy","Male","3.50 - 4.00","2021","walnutcreek","kpmg","Accounting","1","accepted fulltime job","Yes","Yes",73000,"California","33.035679","-117.259308","kpmg"
"Supply Chain & Operations Mgmt","Male","2.00 - 2.49","2019","chicago","transportation one","Logistics / Supply Chain","2","accepted fulltime job","Yes","Yes",35000,NA,"41.8755616","-87.6244212","transportation one"
"Accountancy","Male","3.00 - 3.49","2020","cincinnati","ey","Accounting","1","accepted fulltime job","Yes","Yes",52000,"Ohio","39.1014537","-84.5124602","ey"
"Marketing","Male","3.50 - 4.00","2019","columbus","dhl supply chain","Logistics / Supply Chain","1","accepted fulltime job","Yes","Yes",52500,"Ohio","39.9622601","-83.0007065","dhl"
"Finance","Male","2.50 - 2.99","2019","cincinnati","ferguson enterprises","Marketing / Sales","3","accepted fulltime job","Yes","Yes",45000,NA,"39.1014537","-84.5124602","ferguson enterprises"
"Accountancy","Male","3.50 - 4.00","2020","columbus","kpmg","Accounting","3","accepted fulltime job","Yes","Yes",54000,"Ohio","39.9622601","-83.0007065","kpmg"
"Finance","Male","3.50 - 4.00","2020","charlotte","fifth third bank","Finance","2","accepted fulltime job","Yes","Yes",65000,"North Carolina","35.2272086","-80.8430827","fifth third bank"
"Finance","Male","3.00 - 3.49","2020","chicago","northern trust corporation",NA,NA,"accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","northwestern mutual"
"Accountancy","Male","3.50 - 4.00","2019","columbus","pwc","Accounting","1","accepted fulltime job","Yes","Yes",57000,NA,"39.9622601","-83.0007065","pwc"
"Finance","Male","3.00 - 3.49","2020","chicago","west monroe partners","Consulting","2","accepted fulltime job","Yes","Yes",72000,"Illinois","41.8755616","-87.6244212","west monroe partners"
"Marketing","Female","3.00 - 3.49","2020","chicago","dental technologies",NA,NA,"accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","prudential private capital"
"Business Economics","Male","3.50 - 4.00","2020","cleveland","sterling associates group",NA,NA,"accepted fulltime job",NA,NA,NA,"Ohio","41.4996562","-81.6936813","sterling associates group"
"Marketing","Female","3.50 - 4.00","2020","chicago","coyote logistics","Marketing / Sales","2","accepted fulltime job","Yes","Yes",45000,"Illinois","41.8755616","-87.6244212","coyote logistics"
"Finance","Male","3.00 - 3.49","2019","chicago","prudential capital group","Finance","1","accepted fulltime job","Yes","Yes",70000,NA,"41.8755616","-87.6244212","prudential private capital"
"Marketing","Female","3.50 - 4.00","2021","bentonville","abbott","Marketing / Sales","1","accepted fulltime job","Yes","No",58000,"Arkansas","36.3728538","-94.2088172","abbott"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2021","cincinnati","terillium","Consulting","1","accepted fulltime job","Yes","No",50000,"Ohio","39.1014537","-84.5124602","terillium"
"Finance","Male","3.00 - 3.49","2021","cleveland","american international group (aig)","Finance","1","accepted fulltime job","Yes","Yes",62000,"Ohio","41.4996562","-81.6936813","american eagle outfitters"
"Supply Chain & Operations Mgmt","Female","3.50 - 4.00","2019","atlanta","alvarez & marsal","Consulting","1","accepted fulltime job","Yes","Yes",75000,NA,"33.7489924","-84.3902644","alvarez & marsal"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2019",NA,"honda","Logistics/Supply Chain",NA,"accepted fulltime job","Yes","Yes",54950,NA,NA,NA,"honda of america manufacturing"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2019","columbus","e&j gallo","Logistics/Supply Chain","5","accepted fulltime job","Yes","Yes",56700,NA,"39.9622601","-83.0007065","e&j gallo winery"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2020","howell","pepsico frito-lay","Logistics / Supply Chain Operations / Procurement","1","accepted fulltime job","Yes","No",67000,"Michigan","36.766989","-91.9151975","pepsico"
"Marketing","Male","3.00 - 3.49","2019","chicago","blue chip mkt","Marketing/Sales","2","accepted fulltime job","Yes","Yes",24960,"Illinois","41.8755616","-87.6244212","blue cross blue shield"
"Information Systems","Male","2.50 - 2.99","2020","greenfield","emerson commercial & residential solutions",NA,NA,"accepted fulltime job",NA,NA,NA,"Indiana","42.6097476","-72.5979752","emerson"
"Finance","Male","3.00 - 3.49","2021","wichita","textron","Accounting Finance","1","accepted fulltime job","Yes","No",65000,"Kansas","37.6922361","-97.3375448","textron specialized vehicles"
"Finance","Male","3.50 - 4.00","2020","cincinnati","fis (formerly worldpay)","Finance","1","accepted fulltime job","Yes","Yes",55000,"Ohio","39.1014537","-84.5124602","fis"
"Supply Chain & Operations Mgmt","Female","3.50 - 4.00","2021","fortlee","tranzact","Marketing / Sales","2","accepted fulltime job","Yes","Yes",50000,"New Jersey","40.8758767","-74.0284519","tranzact"
"Information Systems","Male","2.00 - 2.49","2020","raleigh","dhl","Analytics Logistics / Supply Chain","1","accepted fulltime job","Yes","Yes",60000,"North Carolina","35.7803977","-78.6390989","dhl"
"Marketing","Female","3.00 - 3.49","2020","chicago","capgemini invent","Analytics Consulting","3","accepted fulltime job","Yes","Yes",75000,"Illinois","41.8755616","-87.6244212","capgemini invent"
"Finance","Male","3.50 - 4.00","2021","columbus","kpmg",NA,"1","accepted fulltime job","Yes","Yes",63000,"Ohio","39.9622601","-83.0007065","kpmg"
"Marketing","Female","3.50 - 4.00","2020",NA,"carson-dellosa publishing group",NA,"1","accepted fulltime job",NA,NA,NA,NA,NA,NA,"carson-dellosa publishing group"
"Finance","Male","3.00 - 3.49","2019","chicago","altus group",NA,"3","accepted fulltime job","No",NA,55000,"Illinois","41.8755616","-87.6244212","altus group"
"Marketing","Male","3.00 - 3.49","2020","pittsburgh","northwestern mutual",NA,"0","accepted fulltime job",NA,NA,NA,"Pennsylvania","40.4416941","-79.9900861","northwestern mutual"
"Finance","Female","3.00 - 3.49","2021","cincinnati","western and southern life","Finance Marketing / Sales","1","accepted fulltime job","Yes","Yes",30000,"Ohio","39.1014537","-84.5124602","west monroe partners"
"Marketing","Male","3.00 - 3.49","2021","chicago","pinterest",NA,"1","accepted fulltime job","Yes","Yes",63000,"Illinois","41.8755616","-87.6244212","pinterest"
"Accountancy","Male","3.00 - 3.49","2020","woodbridge","bdo","Accounting","1","accepted fulltime job","Yes","Yes",63000,"New Jersey","40.55418","-74.28600076944446","bdo"
"Marketing","Female","3.50 - 4.00","2020","columbus","alliance data","Marketing / Sales","2","accepted fulltime job","Yes","Yes",55000,"Ohio","39.9622601","-83.0007065","alliance data"
"Finance","Male","3.00 - 3.49","2020","chicago","coyote logistics","Analytics Finance Logistics / Supply Chain Marketing / Sales","3","accepted fulltime job","Yes","Yes",45000,"Illinois","41.8755616","-87.6244212","coyote logistics"
"Finance","Female","3.00 - 3.49","2020","blacklick","abercrombie & fitch","Finance","1","accepted fulltime job","Yes","Yes",63000,"Ohio","39.9956195","-82.811286","abercrombie & fitch"
"Management and Leadership","Male","3.00 - 3.49","2020","stow","northcoast orthopedic sales, llc","General Management Human Resources Marketing / Sales Operations / Procurement","1","accepted fulltime job","Yes","Yes",55000,"Ohio","41.1596261","-81.4406258","north shore strapping"
"Finance","Male","3.00 - 3.49","2021","chicago","mcadams financial","Finance","2","accepted fulltime job","Yes","Yes",60000,"Illinois","41.8755616","-87.6244212","mcadams financial"
"Marketing","Male","3.50 - 4.00","2020",NA,"pepsico frito-lay","Analytics","2","accepted fulltime job","Yes","Yes",70000,NA,NA,NA,"pepsico"
"Business Economics","Female","3.50 - 4.00","2021","cleveland","deloitte consulting","Consulting","1","accepted fulltime job","Yes","Yes",80000,"Ohio","41.4996562","-81.6936813","deloitte"
"Finance","Male","3.50 - 4.00","2021","cincinnati","fis","Finance","1","accepted fulltime job","Yes","Yes",55000,"Ohio","39.1014537","-84.5124602","fis"
"Marketing","Male","3.50 - 4.00","2019","chicago","nielsen","Analytics",NA,"accepted fulltime job",NA,NA,58000,"Illinois","41.8755616","-87.6244212","nielsen"
"Accountancy","Male","3.50 - 4.00","2019","chicago","wintrust","Finance",NA,"accepted fulltime job",NA,NA,58000,"Illinois","41.8755616","-87.6244212","wintrust"
"Finance","Male","3.00 - 3.49","2019","chicago","peloton group","Accounting
 Analytics
 Consulting
 Finance
 Information Technology","2","accepted fulltime job","No","Yes",62500,NA,"41.8755616","-87.6244212","peloton consulting group"
"Accountancy","Male","3.00 - 3.49","2019","chicago","pwc","Accounting
 Consulting
 Finance","1","accepted fulltime job","Yes","Yes",61000,"Illinois","41.8755616","-87.6244212","pwc"
"Marketing","Male","3.50 - 4.00","2019","cincinnati","news america marketing","Marketing / Sales","2","accepted fulltime job","Yes","Yes",50000,NA,"39.1014537","-84.5124602","news america marketing"
"Finance","Female","2.50 - 2.99","2021",NA,"keybanc capital markets",NA,NA,"accepted fulltime job",NA,NA,75000,NA,NA,NA,"keybanc capital markets"
"Finance","Female","2.50 - 2.99","2021","cleveland","keybanc capital markets","Finance","1","accepted fulltime job","Yes","No",75000,"Ohio","41.4996562","-81.6936813","keybanc capital markets"
"Finance","Female","3.50 - 4.00","2020","stpaul","travelers","Other: Underwriter","1","accepted fulltime job","Yes","Yes",63000,"Minnesota","37.5624339","126.98838352243814","travelers"
"Finance","Male","3.00 - 3.49","2019","detroit","quicken loans","Finance
 Marketing / Sales","2","accepted fulltime job","No","Yes",60000,"Michigan","42.3315509","-83.0466403","quicken loans"
"Finance","Male","3.00 - 3.49","2019","charlotte","granzow consulting group","Analytics
 Consulting
 Finance","1","accepted fulltime job","Yes","Yes",50000,"North Carolina","35.2272086","-80.8430827","granzow consulting group"
"Finance","Male","2.50 - 2.99","2021","chicago","molo solutions",NA,NA,"accepted fulltime job","No","Yes",44000,"Illinois","41.8755616","-87.6244212","molo solutions"
"Accountancy","Male","3.00 - 3.49","2019","cleveland","deloitte","Accounting","1","accepted fulltime job","Yes","Yes",51000,NA,"41.4996562","-81.6936813","deloitte"
"Finance","Male","3.00 - 3.49","2021","houston","idk yet","Other: IDK","1","accepted fulltime job","No","Yes",NA,"Texas","29.7589382","-95.3676974","idk yet"
"Marketing","Female","3.00 - 3.49","2020","pittsburgh","dick's sporting goods",NA,"0","accepted fulltime job",NA,NA,NA,"Pennsylvania","40.4416941","-79.9900861","dick's sporting goods"
"Human Capital Mgmt& Leadership","Female","3.00 - 3.49","2021","washington","fannie mae","General Management","1","accepted fulltime job","Yes","Yes",60000,NA,"38.8950368","-77.0365427","fannie mae"
"Marketing","Male","3.50 - 4.00","2019","wichita","textron aviation","Marketing/Sales","1","accepted fulltime job","Yes","No",52000,"Kansas","37.6922361","-97.3375448","textron specialized vehicles"
"Finance","Male","3.00 - 3.49","2021","nashville","alto ira",NA,"3","accepted fulltime job","Yes","Yes",45000,"Tennessee","36.1622767","-86.7742984","alto ira"
"Accountancy","Male","3.00 - 3.49","2021","columbus","plante moran","Accounting","1","accepted fulltime job","Yes","Yes",55000,"Ohio","39.9622601","-83.0007065","plante moran"
"Marketing","Male","2.50 - 2.99","2019",NA,"tend","Marketing/Sales","7","accepted fulltime job","Yes","Yes",38000,"California",NA,NA,"tend"
"Marketing","Female","3.00 - 3.49","2020","cleveland","socialcode","Marketing / Sales","1","accepted fulltime job","Yes","Yes",40000,"Ohio","41.4996562","-81.6936813","socialchorus"
"Business Economics","Male","3.00 - 3.49","2019","maineville","medpace",NA,"0","accepted fulltime job",NA,NA,NA,"Ohio","39.315134","-84.2209419","medpace"
"Marketing","Male","3.50 - 4.00","2020","columbus","abbott nutrition","Marketing / Sales","1","accepted fulltime job","Yes","Yes",56000,"Ohio","39.9622601","-83.0007065","abbott"
"Marketing","Male","3.50 - 4.00","2019","chicago","84.51","Analytics","2","accepted fulltime job","Yes","Yes",80000,"Illinois","41.8755616","-87.6244212","84.51"
"Management and Leadership","Female","3.00 - 3.49","2019","providence","textron","Human Resources","1","accepted fulltime job","Yes","Yes",54000,"Rhode Island","41.8239891","-71.4128343","textron specialized vehicles"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2019","columbus","frito lay","Logistics/Supply Chain","1","accepted fulltime job","Yes","Yes",62000,NA,"39.9622601","-83.0007065","frito lay"
"Accountancy","Female","3.50 - 4.00","2019","chicago","plante moran","Accounting","3","accepted fulltime job","Yes","Yes",63000,"Illinois","41.8755616","-87.6244212","plante moran"
"Finance","Male","3.00 - 3.49","2019","chicago","capco","Consulting
 Finance","0","accepted fulltime job","Yes","No",70000,"Illinois","41.8755616","-87.6244212","capco"
"Business Economics","Female","3.00 - 3.49","2019","madison","epic systems","Other","2","accepted fulltime job","Yes","Yes",50000,"Wisconsin","43.074761","-89.3837613","epic"
"Supply Chain & Operations Mgmt","Female","3.50 - 4.00","2021","chicago","bearingpoint","Consulting","2","accepted fulltime job","Yes","Yes",70000,"Illinois","41.8755616","-87.6244212","bearingpoint"
"Finance","Female","3.00 - 3.49","2019","akron","goodyear tire & rubber co.",NA,"2","accepted fulltime job","Yes",NA,62000,"Ohio","41.083064","-81.518485","goodyear tire & rubber co."
"Supply Chain & Operations Mgmt","Female","3.00 - 3.49","2019","alexandria","xator corporation","Analytics
 Logistics / Supply Chain
 Information Technology
 Operations / Procurement","3","accepted fulltime job","Yes","Yes",60000,NA,"31.199004","29.894378","xator corporation"
"Supply Chain & Operations Mgmt","Male","2.50 - 2.99","2021","augusta","textron specialized vehicles",NA,NA,"accepted fulltime job",NA,NA,58000,"Georgia","33.4709714","-81.9748429","textron specialized vehicles"
"Supply Chain & Operations Mgmt","Male","2.50 - 2.99","2021","augusta","textron","Logistics / Supply Chain Operations / Procurement","2","accepted fulltime job","Yes","Yes",60000,"Georgia","33.4709714","-81.9748429","textron specialized vehicles"
"Information Systems","Male","3.00 - 3.49","2019","plano","wipro","Information Technology","1","accepted fulltime job","Yes","No",60000,NA,"33.0136764","-96.6925096","wipro"
"Supply Chain & Operations Mgmt","Female","3.00 - 3.49","2019","cincinnati","p&g","Logistics/Supply Chain","4","accepted fulltime job","Yes","Yes",75000,NA,"39.1014537","-84.5124602","p&g"
"Marketing","Female","3.00 - 3.49","2019","colubmus","dancer solutions","Marketing/Sales","5","accepted fulltime job","Yes","Yes",55000,NA,NA,NA,"dac"
"Finance","Female","3.00 - 3.49","2020","boston","global atlantic financial group","Analytics Finance Human Resources","1","accepted fulltime job","Yes","Yes",60000,"Massachusetts","42.3602534","-71.0582912","global atlantic financial group"
"Marketing","Female","3.00 - 3.49","2019","alpharetta","westchester, a chubb company","Other: Risk Management / Insurance","1","accepted fulltime job","Yes","Yes",58000,"Georgia","34.0709576","-84.2747329","westchester, a chubb company"
"Accountancy","Female","3.50 - 4.00","2020","chicago","crowe llp","Accounting","1","accepted fulltime job","No","Yes",63000,"Illinois","41.8755616","-87.6244212","crowe"
"Finance","Male","2.00 - 2.49","2020","cleveland","brightedge",NA,NA,"accepted fulltime job",NA,NA,68000,"Ohio","41.4996562","-81.6936813","brightedge"
"Accountancy","Male","3.50 - 4.00","2019","cincinnati","bdo","Accounting","1","accepted fulltime job","Yes","Yes",52000,NA,"39.1014537","-84.5124602","bdo"
"Human Capital Mgmt& Leadership","Female","3.50 - 4.00","2021","chicago","peloton consulting group",NA,"1","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","peloton consulting group"
"Information Systems","Male","3.50 - 4.00","2020","cincinnati","ge aviation","Information Technology","1","accepted fulltime job","Yes","Yes",82000,"Ohio","39.1014537","-84.5124602","ge aviation"
"Finance","Female","3.50 - 4.00","2020","washington","federal bureau of investigation","Other: Counterterrorism","1","accepted fulltime job","Yes","Yes",48670,NA,"38.8950368","-77.0365427","federal bureau of investigation"
"Information Systems","Female","3.00 - 3.49","2021","forthworth","textron","Information Technology","2","accepted fulltime job","Yes","Yes",66000,"Texas",NA,NA,"textron specialized vehicles"
"Human Capital Mgmt& Leadership","Female","3.00 - 3.49","2021","columbus","abbott","Marketing / Sales","1","accepted fulltime job","Yes","Yes",50128,"Ohio","39.9622601","-83.0007065","abbott"
"Accountancy","Female","3.00 - 3.49","2021","cleveland","ey","Accounting","1","accepted fulltime job","Yes","Yes",65000,"Ohio","41.4996562","-81.6936813","ey"
"Management and Leadership","Female","2.00 - 2.49","2020","hershey","hershey entertainment & resorts","Human Resources","2","accepted fulltime job","Yes","No",30160,"Pennsylvania","40.285028499999996","-76.65346622319689","hershey entertainment & resorts"
"Finance","Male","3.00 - 3.49","2021","eauclaire","fdic","Finance Other: Government","2","accepted fulltime job","Yes","Yes",55000,"Wisconsin","34.824358","-87.663667","fdic"
"Business Economics","Male","2.50 - 2.99","2019",NA,"u.s. navy",NA,NA,"military service",NA,NA,NA,NA,NA,NA,"u.s. navy"
"Business Analytics","Male","3.00 - 3.49","2021","washington","accenture","Consulting","1","accepted fulltime job","Yes","Yes",82000,NA,"38.8950368","-77.0365427","accenture"
"Human Capital Mgmt& Leadership","Male","3.00 - 3.49","2021",NA,"gpac",NA,NA,"accepted fulltime job","Yes","Yes",NA,NA,NA,NA,"gpac"
"Marketing","Male","2.50 - 2.99","2019","cincinnati","david j. joseph","Marketing / Sales","2","accepted fulltime job","Yes","Yes",55000,NA,"39.1014537","-84.5124602","david j. joseph"
"Accountancy","Male","3.50 - 4.00","2020",NA,"deloitte",NA,NA,"accepted fulltime job",NA,NA,62000,NA,NA,NA,"deloitte"
"Finance","Male","3.00 - 3.49","2020","chicago","the hackett group","Consulting Finance General Management IT Assurance / IT Audit Logistics / Supply Chain Information Technology","3","accepted fulltime job","Yes","Yes",73000,"Illinois","41.8755616","-87.6244212","the home depot"
"Accountancy","Male","3.50 - 4.00","2021","chicago","deloitte","Accounting Consulting Other: Tax","1","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","deloitte"
"Business Analytics","Female","3.00 - 3.49","2020","chicago","ey","Accounting IT Assurance / IT Audit","2","accepted fulltime job","Yes","Yes",63000,"Illinois","41.8755616","-87.6244212","ey"
"Supply Chain & Operations Mgmt","Female","3.00 - 3.49","2019","tysons","ernst & young","Consulting
 Logistics / Supply Chain
 Operations / Procurement","1","accepted fulltime job","Yes","Yes",74000,NA,"38.916509000000005","-77.2257977704366","ernst & young"
"Human Capital Mgmt& Leadership","Female","2.50 - 2.99","2021","columbus","swim & racquet","General Management","0","accepted parttime job","Yes","Yes",NA,"Ohio","39.9622601","-83.0007065","swim & racquet"
"Finance","Male","3.50 - 4.00","2020","chicago","suntrust","Finance","3","accepted fulltime job","Yes","Yes",80000,"Illinois","41.8755616","-87.6244212","wintrust"
"Information Systems","Male","2.50 - 2.99","2019","cincinnati","kroger","IT Assurance/IT Audit","1","accepted fulltime job","Yes","Yes",68000,"Ohio","39.1014537","-84.5124602","kroger"
"Supply Chain & Operations Mgmt","Female","3.50 - 4.00","2019","williamsport","textron systems: lycoming engines","Logistics / Supply Chain
 Operations / Procurement","3","accepted fulltime job","Yes","No",54000,NA,"41.2493292","-77.0027671","textron specialized vehicles"
"Accountancy","Male","3.00 - 3.49","2020","cincinnati","bdo","Accounting","1","accepted fulltime job","Yes","Yes",53000,"Ohio","39.1014537","-84.5124602","bdo"
"Finance","Male","3.50 - 4.00","2020",NA,"metrus energy",NA,NA,"accepted fulltime job",NA,NA,NA,NA,NA,NA,"impetus consulting group"
"Marketing","Female","2.50 - 2.99","2021","austin","oracle","Marketing / Sales","1","accepted fulltime job","Yes","No",50000,"Texas","30.2711286","-97.7436995","oracle netsuite"
"Information Systems","Female","3.50 - 4.00","2021","chicago","west monroe partners","Analytics Consulting Finance","1","accepted fulltime job","Yes","Yes",70000,"Illinois","41.8755616","-87.6244212","west monroe partners"
"Finance","Female","3.50 - 4.00","2020","chicago","west monroe partners","Consulting","1","accepted fulltime job","Yes","Yes",70000,"Illinois","41.8755616","-87.6244212","west monroe partners"
"Accountancy","Female","3.50 - 4.00","2019","chicago","kpmg","Accounting","1","accepted fulltime job","Yes","Yes",60000,"Illinois","41.8755616","-87.6244212","kpmg"
"Marketing","Male","3.00 - 3.49","2021","cleveland","the superlative group",NA,NA,"accepted fulltime job",NA,NA,50000,"Ohio","41.4996562","-81.6936813","the home depot"
"Marketing","Female","3.50 - 4.00","2021","chicago","rise interactive",NA,"1","accepted fulltime job","Yes","Yes",50000,"Illinois","41.8755616","-87.6244212","rise interactive"
"Business Economics","Male","3.00 - 3.49","2020","cincinnati","dewey's pizza","General Management Logistics / Supply Chain Operations / Procurement","4","accepted fulltime job","Yes","Yes",62500,"Ohio","39.1014537","-84.5124602","dewey's pizza"
"Marketing","Female","3.00 - 3.49","2021",NA,"vmly&r",NA,"1","accepted parttime job",NA,NA,NA,NA,NA,NA,"vmly&r"
"Management and Leadership","Male","2.50 - 2.99","2019","bengaluru","kems ltd","Human Resources","1","accepted fulltime job","Yes","Yes",NA,NA,"12.9767936","77.590082","kems ltd"
"Finance","Female","3.00 - 3.49","2020","chicago","insight global","Marketing / Sales","1","accepted fulltime job","Yes","Yes",40000,"Illinois","41.8755616","-87.6244212","insight2profit"
"Marketing","Female","3.50 - 4.00","2020","columbus","pepsico frito-lay","Marketing / Sales","1","accepted fulltime job","Yes","Yes",65000,"Ohio","39.9622601","-83.0007065","pepsico"
"Accountancy","Female","3.50 - 4.00","2019","cincinnati","pwc","Accounting","1","accepted fulltime job","Yes","Yes",52000,"Ohio","39.1014537","-84.5124602","pwc"
"Finance","Female","3.00 - 3.49","2019","pittsburgh","prop ocean corporation",NA,NA,"accepted fulltime job",NA,NA,NA,"Pennsylvania","40.4416941","-79.9900861","prop ocean corporation"
"Finance","Male","3.50 - 4.00","2021","cincinnati","deloitte consulting",NA,NA,"accepted parttime job",NA,NA,80000,"Ohio","39.1014537","-84.5124602","deloitte"
"Supply Chain & Operations Mgmt","Male","2.50 - 2.99","2019","cincinnati","uc health","Logistics/Supply Chain","4","accepted fulltime job","Yes","Yes",41600,"Ohio","39.1014537","-84.5124602","uc health"
"Marketing","Female","3.00 - 3.49","2020","cincinnati","procter & gamble",NA,NA,"accepted fulltime job",NA,NA,70000,"Ohio","39.1014537","-84.5124602","procter & gamble"
"Finance","Male","3.00 - 3.49","2020","cleveland","union home mortgage corp.","Accounting Finance","2","accepted fulltime job","Yes","Yes",52000,"Ohio","41.4996562","-81.6936813","union home mortgage corp."
"Finance","Female","3.50 - 4.00","2020","chicago","west monroe partners","Consulting","5","accepted fulltime job","Yes","Yes",70000,"Illinois","41.8755616","-87.6244212","west monroe partners"
"Supply Chain & Operations Mgmt","Female","3.00 - 3.49","2019","columbus","dhl supply chain","Analytics
 Logistics / Supply Chain
 Operations / Procurement","1","accepted fulltime job","Yes","Yes",52500,NA,"39.9622601","-83.0007065","dhl"
"Human Capital Mgmt& Leadership","Male","3.00 - 3.49","2021","losangeles","northmarq",NA,"0","accepted fulltime job","Yes","Yes",NA,"California","-8.4569081","-77.2970344","northmarq"
"Accountancy","Male","3.50 - 4.00","2021","columbus","deloitte","Accounting Consulting IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",53500,"Ohio","39.9622601","-83.0007065","deloitte"
"Marketing","Male","3.50 - 4.00","2019","newport","divisions maintenance group","Marketing/Sales","1","accepted fulltime job","Yes","Yes",38000,"Kentucky","41.4899827","-71.3137707","divisions maintenance group"
"Marketing","Female","3.50 - 4.00","2019","denver","motive","IMS","2","accepted fulltime job","Yes","Yes",NA,"Colorado","39.7392364","-104.9848623","motive"
"Business Economics","Female","3.00 - 3.49","2019","blueash","lendkey technologies","Analytics
 Consulting
 Finance
 Marketing / Sales
 Operations / Procurement","1","accepted fulltime job","Yes","Yes",55000,NA,"-23.00669045","-43.348191150000005","lendkey technologies"
"Accountancy","Male","3.50 - 4.00","2021","atlanta","kpmg","Accounting","1","accepted fulltime job","Yes","Yes",57000,"Georgia","33.7489924","-84.3902644","kpmg"
"Accountancy","Female","3.50 - 4.00","2019","boston","pwc","Accounting","2","accepted fulltime job","Yes","Yes",60000,"Massachusetts","42.3602534","-71.0582912","pwc"
"Finance","Male","3.00 - 3.49","2020","chicago","pnc financial services","Consulting Finance","1","accepted fulltime job","Yes","Yes",55000,"Illinois","41.8755616","-87.6244212","pnc financial services"
"Finance","Male","3.50 - 4.00","2021","chicago","aon","Finance","2","accepted fulltime job","Yes","Yes",70000,"Illinois","41.8755616","-87.6244212","aon"
"Information Systems","Female","3.50 - 4.00","2020","chicago","nielsen","Analytics","1","accepted fulltime job","Yes","Yes",58000,"Illinois","41.8755616","-87.6244212","nielsen"
"Accountancy","Male","3.50 - 4.00","2020","cleveland","deloitte","Accounting","1","accepted fulltime job","Yes","Yes",53000,"Ohio","41.4996562","-81.6936813","deloitte"
"Finance","Male","2.50 - 2.99","2020","covington","fidelity investments","Finance Marketing / Sales","3","accepted fulltime job","Yes","Yes",44000,"Kentucky","31.196549","-86.4597236","fidelity investments"
"Finance","Male","2.00 - 2.49","2021",NA,"northwestern mutual",NA,"2","accepted fulltime job","Yes","Yes",NA,"Ohio",NA,NA,"northwestern mutual"
"Accountancy","Female","3.50 - 4.00","2020","cleveland","deloitte","Accounting","3","accepted fulltime job","Yes","Yes",51000,"Ohio","41.4996562","-81.6936813","deloitte"
